id,name,email,phone,title,company,company_id,source,owner,tags,status,created_at,updated_at
84c2ac1e-d3ee-426c-919c-302b478cc3e2,张三,,13800138000,,科技有限公司,,,,,active,2026-04-10T15:55:28.155065+00:00,
e5e08fe2-59a8-4946-8ad8-c94b5aa183fe,李四,,13900139000,,贸易公司,,,,,pending,2026-04-10T15:55:33.277832+00:00,
16ce3121-d09b-4467-966a-2b0a73c78741,王五,,13700137000,,咨询公司,,,,,inactive,2026-04-10T15:55:36.518410+00:00,
759ad726-18ba-4717-815a-66f6cb38dc9a,赵六,,13600136000,,网络科技公司,,,,,active,2026-04-10T15:55:41.074175+00:00,
b92e55e7-a0ff-48bb-a70d-5e47a956274c,陈七,,13500135000,,电子商务公司,,,,,active,2026-04-10T16:14:22.012854+00:00,
4a62810c-fd69-47cf-932e-9b616a5f24df,钱八,,13400134000,,机械制造公司,,,,,pending,2026-04-10T16:14:28.992660+00:00,
4e8cec51-19f2-40e4-a498-eacb60142346,孙九,,13300133000,,物流服务公司,,,,,active,2026-04-10T16:14:33.715442+00:00,
a9206809-2fe0-439e-899a-cee70a01ae37,周十,,13200132000,,餐饮管理公司,,,,,inactive,2026-04-10T16:14:37.862096+00:00,
955d51a2-18c0-4758-aac9-f4d84b2c8ed3,张三,zhangsan@tencent.com,13800138000,技术总监,腾讯科技,563500b0-51db-4e64-914d-3e75c79e6b99,website,销售 A,"VIP,技术决策者",active,2026-04-11T02:15:18.287577+00:00,2026-04-11T02:15:18.287591+00:00
32fdec83-a7cb-414f-9690-5babd1501546,李四,lisi@tencent.com,13900139000,IT 经理,腾讯科技,563500b0-51db-4e64-914d-3e75c79e6b99,referral,销售 A,影响者,active,2026-04-11T02:15:21.756716+00:00,2026-04-11T02:15:21.756731+00:00
