id,contact_id,deal_id,type,note,created_at
0acc3403-3699-485d-a081-d096774cfee7,84c2ac1e-d3ee-426c-919c-302b478cc3e2,,note,首次联系，介绍了公司产品和优势，客户表示感兴趣,2026-04-10T15:55:45.148882+00:00
2a3da4d0-74ff-4c55-92b8-9ab243108761,84c2ac1e-d3ee-426c-919c-302b478cc3e2,,note,发送产品演示视频和客户案例，约定下周回访,2026-04-10T15:55:49.653825+00:00
81447f02-bdb3-4519-8611-4f6fa116c6aa,e5e08fe2-59a8-4946-8ad8-c94b5aa183fe,,call,电话联系，客户暂未回复，待跟进,2026-04-10T15:55:54.129924+00:00
cbb34fb4-1523-4a8b-8ae1-ee7140015249,16ce3121-d09b-4467-966a-2b0a73c78741,,note,客户表示目前有其他合作计划，暂时不需要服务,2026-04-10T15:55:57.984664+00:00
b19f331d-23b8-43cc-a322-6c5aadd2a25c,759ad726-18ba-4717-815a-66f6cb38dc9a,,email,发送报价单，客户正在审核中,2026-04-10T15:56:02.221628+00:00
124e7990-bac6-41c3-b041-7b07f603d8a4,b92e55e7-a0ff-48bb-a70d-5e47a956274c,,note,初次联系，客户对电商解决方案感兴趣,2026-04-10T16:15:00+00:00
78084f8e-fd38-493c-b36f-9af07c940f7c,b92e55e7-a0ff-48bb-a70d-5e47a956274c,,email,发送产品目录，约定下周会议,2026-04-10T16:16:00+00:00
ef0d41c3-84bd-4a51-a4e6-0b37ca42be6f,4a62810c-fd69-47cf-932e-9b616a5f24df,,call,跟进机械采购需求,2026-04-10T16:17:00+00:00
a4db6f09-9b16-4cdc-80d1-71eeb979e28b,4e8cec51-19f2-40e4-a498-eacb60142346,,meeting,物流合作方案沟通,2026-04-10T16:18:00+00:00
f3590a22-0261-42de-ac2d-96fc715b545a,955d51a2-18c0-4758-aac9-f4d84b2c8ed3,971645df-9a10-4dd0-b9d6-bf2babfd018d,call,首次电话联系，介绍产品，客户表示感兴趣，需要技术演示,2026-04-11T02:15:28.478436+00:00
6ce7cd50-8251-4acd-91a1-d1e5f710c4b9,955d51a2-18c0-4758-aac9-f4d84b2c8ed3,971645df-9a10-4dd0-b9d6-bf2babfd018d,email,发送产品演示视频和技术白皮书，客户已确认收到,2026-04-11T02:15:31.333326+00:00
81f76985-63ee-4a08-9802-b25cca18344e,32fdec83-a7cb-414f-9690-5babd1501546,971645df-9a10-4dd0-b9d6-bf2babfd018d,meeting,与李四（IT 经理）面对面会议，了解现有 IT 架构和痛点,2026-04-11T02:15:34.255032+00:00
cf072f72-4c2f-4fa1-a78b-2f37467b26a6,955d51a2-18c0-4758-aac9-f4d84b2c8ed3,971645df-9a10-4dd0-b9d6-bf2babfd018d,email,发送正式报价单，客户已确认收到，进入方案阶段,2026-04-11T02:16:02.643825+00:00
